Estimates,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intellectual property products,"26,314","28,445","29,640","31,098","33,062","33,204","31,711","30,024","29,456","29,211","29,591","30,292","31,186","31,254","31,519","31,840","32,873","33,589","34,506","34,864","36,013","37,089","38,454","38,836","37,846","37,538","37,725","37,866","37,713","37,991","38,497","39,411","40,596","40,577","39,917","37,757","33,196","32,190","32,300","33,060","34,628","36,047","36,801","36,847","36,040","38,084","39,229","39,254","39,424","37,599","38,029","37,664","38,263","37,357","37,612","37,664","38,291","37,721","37,501","38,637","35,578","33,404","32,677","33,021","33,259","33,505","32,893","32,686","34,759","36,029","37,162","36,024","37,659","38,019","37,373","38,464","36,971","36,951","37,328","37,316","36,562","33,364","35,679"
Non-profit institutions serving households' gross fixed capital formation,"1,314","1,332","1,363","1,381","1,433","1,469","1,545","1,612","1,861","1,801","1,763","1,749","1,741","1,711","1,582","1,347",989,851,941,"1,282","1,885","2,322","2,619","2,775","2,827","2,698","2,478","2,210","1,586","1,653","1,848","2,127","2,597","2,817","2,994","2,955","2,255","2,249","2,213","2,407","2,366","2,411","2,428","2,571","2,400","2,459","2,464","2,488","2,572","2,712","2,796","2,812","2,873","2,822","2,850","2,894","3,075","3,118","3,038","2,925","2,769","2,765","2,790","2,736","2,177","2,021","1,955","1,979","2,018","2,089","2,113","2,133","2,146","2,097","2,078","2,026","2,006","2,014","2,082","2,073","1,966","1,917","2,013"
General governments gross fixed capital formation,"42,330","41,931","42,605","43,220","45,726","46,355","47,588","49,821","49,008","49,170","49,345","49,003","49,654","50,776","51,332","52,073","53,365","53,821","54,301","55,393","57,742","59,139","60,139","61,282","61,378","61,925","62,301","63,614","65,316","66,334","67,098","67,103","69,818","69,463","69,114","70,146","70,214","72,701","78,348","83,873","84,482","85,359","85,304","84,638","82,775","80,007","76,842","74,270","76,024","76,792","76,232","75,515","74,687","71,561","71,291","69,968","69,485","68,917","69,454","69,829","71,660","69,887","69,964","70,405","71,553","70,036","69,495","70,422","71,963","73,072","75,851","78,977","78,992","78,278","78,897","76,737","78,525","77,326","79,116","78,859","79,998","76,858","81,011"
Investment in inventories,"16,383","15,336","15,942","10,721","-2,564","-1,075","-7,096","-16,445","-18,252",-32,-503,"4,176","13,510","13,438","-2,953","1,728","-3,315","-5,610","14,205","22,556","20,493","11,182","13,592","10,239","17,264","17,949","12,862",39,"3,606",535,"17,185","21,746","10,406","7,719","15,727","8,212","5,130","-8,174","-4,469","-5,061","4,127","-5,067","4,590","-6,397","10,949","17,630","10,396","12,083","4,482","6,327","10,519","5,960","15,583","12,447","18,936","24,252","21,226","9,746","5,469","8,130","13,373","8,987","-8,534","-5,966","-4,551","5,671","6,682","-3,057","14,629","20,434","25,930","15,807","20,944","16,500","9,802","14,696","29,175","21,596","12,128","12,164","1,280","-31,865","-35,960"
Of which: business investment in inventories,"16,395","15,341","15,905","10,709","-2,530","-1,059","-7,153","-16,398","-18,252",19,-481,"4,126","13,504","13,434","-2,967","1,697","-3,195","-5,811","14,239","22,785","20,390","11,107","13,647","10,190","17,281","18,015","12,869",39,"3,587",497,"17,111","21,877","10,282","7,571","15,788","8,341","5,004","-7,776","-4,664","-5,098","4,037","-5,236","4,278","-5,895","10,135","18,478","10,311","12,489",-181,"6,647","10,465","6,077","15,273","12,798","19,476","23,905","22,192","8,743","5,529","8,132","13,506","8,970","-8,612","-5,995","-4,227","5,257","6,766","-3,404","16,105","19,263","25,982","16,035","21,189","16,024","9,907","14,609","29,168","21,703","12,166","12,102","1,053","-32,809","-33,117"
Non-farm,"15,532","14,552","15,503","9,610","-2,075",464,"-5,263","-14,038","-17,054","1,568","1,731","5,918","11,122","10,338","-6,423","-1,019","-4,887","-7,224","12,176","19,967","18,200","9,292","11,867","8,676","17,274","18,639","13,285","1,035","4,506","1,542","18,007","22,117","9,044","5,522","11,751","5,801","6,237","-5,478","-6,067","-6,374","4,954","-3,253","5,260","-4,786","9,436","17,832","9,710","13,578","1,485","5,748","9,277","3,550","10,893","7,315","12,400","18,951","19,906","9,699","6,350","7,832","12,874","8,492","-9,800","-6,902","-4,800","3,257","6,219","-2,643","15,510","17,919","25,586","13,624","20,871","16,617","9,639","15,416","28,000","20,452","9,887","9,941",-257,"-35,707","-30,840"
Farm,671,627,192,"1,076",-472,"-1,658","-1,974","-2,400","-1,143","-1,706","-2,430","-1,953","2,454","3,420","4,988","3,874","2,651","2,367","2,179","2,782","1,988","2,008","1,815","1,610",-953,"-1,835","-1,185","-1,358","-1,379","-1,396","-1,755",-909,"1,234","2,149","4,228","2,754","-1,573","-2,590","1,911","1,823","-1,355","-2,373","-1,320","-1,163",651,552,575,"-1,172","-1,622",898,"1,188","2,484","4,342","5,449","7,126","5,012","2,268",-963,-752,376,783,575,869,698,461,"1,915",549,-757,576,"1,323",370,"2,404",335,-572,273,-812,"1,149","1,231","2,294","2,166","1,315","2,808","-2,300"
Exports of goods and services,"537,425","545,503","549,674","550,399","540,481","533,141","522,088","523,974","532,956","532,103","544,160","536,520","527,886","517,269","523,582","540,327","539,677","565,093","563,225","557,714","563,240","561,190","569,271","582,575","574,749","572,631","572,306","576,651","582,434","591,407","581,239","567,381","559,123","564,139","559,627","534,041","488,049","468,265","480,789","492,398","499,315","515,523","515,499","528,009","529,014","521,281","550,239","557,182","556,461","556,941","553,209","551,838","560,597","570,866","566,836","574,741","572,813","607,486","616,555","619,905","613,634","621,986","634,319","629,449","642,847","616,598","634,400","640,701","644,134","649,413","633,561","644,064","652,668","669,725","672,026","671,460","663,868","684,021","679,755","672,431","661,068","536,122","613,818"
Exports of goods,"461,355","468,416","471,009","471,314","461,884","454,557","445,068","446,770","452,988","451,592","462,672","453,240","448,470","440,453","442,602","456,668","456,601","479,261","476,484","469,865","476,241","472,895","480,355","491,918","485,955","482,816","481,970","485,893","493,369","501,073","492,074","477,915","471,078","475,345","469,977","443,853","401,851","381,837","395,438","405,482","414,636","431,089","429,926","441,724","443,437","433,100","460,532","466,246","464,718","464,260","461,657","459,921","469,083","477,891","471,365","479,931","475,652","507,060","516,269","517,436","510,298","518,608","530,977","525,429","534,957","508,047","523,997","528,176","530,842","534,952","517,736","527,336","530,297","547,904","549,042","546,917","540,139","557,499","552,191","544,474","538,821","435,367","514,355"
Exports of services,"73,850","74,817","76,524","76,993","76,723","76,941","75,421","75,589","78,476","79,098","79,947","82,107","77,926","75,247","79,669","82,313","81,699","84,284","85,333","86,636","85,654","87,080","87,620","89,292","87,380","88,511","89,075","89,467","87,533","88,771","87,651","88,101","86,692","87,425","88,554","89,779","86,053","86,326","85,281","86,850","84,602","84,374","85,493","86,220","85,508","88,231","89,638","90,872","91,734","92,678","91,559","91,921","91,530","92,996","95,441","94,815","97,212","100,353","100,173","102,373","103,239","103,340","103,344","103,909","107,665","107,942","109,864","111,937","112,697","113,857","115,094","116,025","121,570","121,039","122,201","123,719","122,897","125,673","126,692","127,049","121,511","100,017","99,742"
